District,Type,A24,A5P,MH,SFA,SFD,GQ
CT1,Metropolitan,0,225,0,0,0,0
CT1,Rural,0,0,0,0,0,0
CT1,Town,0,0,0,0,0,0
CT2,Metropolitan,0,0,0,0,1,0
CT2,Rural,0,0,0,0,0,0
CT2,Town,0,0,0,0,0,0
CT3,Metropolitan,0,105,0,0,0,0
CT3,Rural,0,0,0,0,0,0
CT3,Town,0,0,0,0,0,0
CT4,Metropolitan,0,0,0,0,1,0
CT4,Rural,0,0,0,0,0,0
CT4,Town,0,0,0,0,0,0
CT5,Metropolitan,0,0,0,0,1,0
CT5,Rural,0,0,0,0,0,0
CT5,Town,0,0,0,0,0,0
CT6,Metropolitan,0,141,0,0,0,0
CT6,Rural,0,0,0,0,0,0
CT6,Town,0,0,0,0,0,0
CT7,Metropolitan,0,1152,0,52,0,0
CT7,Rural,0,0,0,0,0,0
CT7,Town,0,0,0,0,0,0
CT8,Metropolitan,0,0,0,0,1,0
CT8,Rural,0,0,0,0,0,0
CT8,Town,0,0,0,0,0,0
CT9,Metropolitan,0,526,0,0,0,0
CT9,Rural,0,0,0,0,0,0
CT9,Town,0,0,0,0,0,0
CT10,Metropolitan,0,300,0,66,0,0
CT10,Rural,0,0,0,0,0,0
CT10,Town,0,0,0,0,0,0
CT11,Metropolitan,0,253,0,0,0,0
CT11,Rural,0,0,0,0,0,0
CT11,Town,0,0,0,0,0,0
CT12,Metropolitan,0,0,0,0,1,0
CT12,Rural,0,0,0,0,0,0
CT12,Town,0,0,0,0,0,0
CT13,Metropolitan,0,0,0,0,1,0
CT13,Rural,0,0,0,0,0,0
CT13,Town,0,0,0,0,0,0
CT14,Metropolitan,0,79,0,0,0,0
CT14,Rural,0,0,0,0,0,0
CT14,Town,0,0,0,0,0,0
CT15,Metropolitan,0,156,0,0,0,0
CT15,Rural,0,0,0,0,0,0
CT15,Town,0,0,0,0,0,0
CT16,Metropolitan,0,0,0,0,1,0
CT16,Rural,0,0,0,0,0,0
CT16,Town,0,0,0,0,0,0
CT17,Metropolitan,0,356,0,596,1441,0
CT17,Rural,0,0,0,0,0,0
CT17,Town,0,0,0,0,0,0
CT18,Metropolitan,0,2066,0,0,4102,0
CT18,Rural,0,0,0,0,0,0
CT18,Town,0,0,0,0,0,0
CT19,Metropolitan,0,396,0,0,413,0
CT19,Rural,0,0,0,0,0,0
CT19,Town,0,0,0,0,0,0
CT20,Metropolitan,0,2056,0,104,2440,0
CT20,Rural,0,0,0,0,0,0
CT20,Town,0,0,0,0,0,0
CT21,Metropolitan,0,9017,0,639,4483,0
CT21,Rural,0,0,0,0,0,0
CT21,Town,0,0,0,0,0,0
CT22,Metropolitan,0,4576,0,310,1151,0
CT22,Rural,0,0,0,0,0,0
CT22,Town,0,0,0,0,0,0
CT23,Metropolitan,0,921,0,0,0,0
CT23,Rural,0,0,0,0,0,0
CT23,Town,0,0,0,0,0,0
CT24,Metropolitan,0,1586,0,0,363,0
CT24,Rural,0,0,0,0,0,0
CT24,Town,0,0,0,0,0,0
CT25,Metropolitan,0,438,0,0,151,0
CT25,Rural,0,0,0,0,0,0
CT25,Town,0,0,0,0,0,0
CT26,Metropolitan,0,995,0,552,1067,0
CT26,Rural,0,0,0,0,0,0
CT26,Town,0,0,0,0,0,0
CT27,Metropolitan,0,808,0,796,490,0
CT27,Rural,0,0,0,0,0,0
CT27,Town,0,0,0,0,0,0
CT28,Metropolitan,0,736,0,0,225,0
CT28,Rural,0,0,0,0,0,0
CT28,Town,0,0,0,0,0,0
CT29,Metropolitan,0,0,0,0,1,0
CT29,Rural,0,0,0,0,0,0
CT29,Town,0,0,0,0,0,0
CT30,Metropolitan,0,1025,0,0,1534,0
CT30,Rural,0,0,0,0,0,0
CT30,Town,0,0,0,0,0,0
CT31,Metropolitan,0,339,0,0,0,0
CT31,Rural,0,0,0,0,0,0
CT31,Town,0,0,0,0,0,0
CT32,Metropolitan,0,565,0,0,177,0
CT32,Rural,0,0,0,0,0,0
CT32,Town,0,0,0,0,0,0
CT33,Metropolitan,0,772,156,0,232,0
CT33,Rural,0,0,0,0,0,0
CT33,Town,0,0,0,0,0,0
CT34,Metropolitan,0,809,0,0,3508,0
CT34,Rural,0,0,0,0,0,0
CT34,Town,0,0,0,0,0,0
CT35,Metropolitan,0,674,0,0,2096,0
CT35,Rural,0,0,0,0,0,0
CT35,Town,0,0,0,0,0,0
CT36,Metropolitan,0,993,0,285,2586,0
CT36,Rural,0,0,0,0,0,0
CT36,Town,0,0,0,0,0,0
CT37,Metropolitan,0,3187,0,0,4787,0
CT37,Rural,0,0,0,0,0,0
CT37,Town,0,0,0,0,0,0
CT38,Metropolitan,0,257,0,268,3677,0
CT38,Rural,0,0,0,0,0,0
CT38,Town,0,0,0,0,0,0
CT39,Metropolitan,0,3254,0,0,1497,0
CT39,Rural,0,0,0,0,0,0
CT39,Town,0,0,0,0,0,0
CT40,Metropolitan,0,968,0,0,995,0
CT40,Rural,0,0,0,0,0,0
CT40,Town,0,0,0,0,0,0
CT41,Metropolitan,0,563,0,0,1125,0
CT41,Rural,0,0,0,0,0,0
CT41,Town,0,0,0,0,0,0
CT42,Metropolitan,0,0,0,115,1473,0
CT42,Rural,0,0,0,0,0,0
CT42,Town,0,0,0,0,0,0
CT43,Metropolitan,0,3115,0,412,2011,0
CT43,Rural,0,0,0,0,0,0
CT43,Town,0,0,0,0,0,0
CT44,Metropolitan,0,962,0,0,489,0
CT44,Rural,0,0,0,0,0,0
CT44,Town,0,0,0,0,0,0
CT45,Metropolitan,0,2164,0,0,2160,0
CT45,Rural,0,0,0,0,0,0
CT45,Town,0,0,0,0,0,0
CT46,Metropolitan,0,82,0,167,1138,0
CT46,Rural,0,0,0,0,0,0
CT46,Town,0,0,0,0,0,0
CT47,Metropolitan,0,2924,0,0,3388,0
CT47,Rural,0,0,0,0,0,0
CT47,Town,0,0,0,0,0,0
CT48,Metropolitan,0,1228,0,0,1320,0
CT48,Rural,0,0,0,0,0,0
CT48,Town,0,0,0,0,0,0
CT49,Metropolitan,0,3294,0,295,4424,0
CT49,Rural,0,0,0,0,0,0
CT49,Town,0,0,0,0,0,0
CT50,Metropolitan,0,173,0,202,3683,0
CT50,Rural,0,0,0,0,0,0
CT50,Town,0,0,0,0,0,0
CT51,Metropolitan,0,1154,0,424,3313,0
CT51,Rural,0,0,0,0,0,0
CT51,Town,0,0,0,0,0,0
CT52,Metropolitan,0,3221,0,0,3771,0
CT52,Rural,0,0,0,0,0,0
CT52,Town,0,0,0,0,0,0
CT53,Metropolitan,0,7334,130,1050,7240,0
CT53,Rural,0,0,0,0,0,0
CT53,Town,0,0,0,0,0,0
CT54,Metropolitan,0,2268,0,0,1471,0
CT54,Rural,0,0,0,0,0,0
CT54,Town,0,0,0,0,0,0
CT55,Metropolitan,0,6902,0,56,3860,0
CT55,Rural,0,0,0,0,0,0
CT55,Town,0,0,0,0,0,0
CT56,Metropolitan,0,2701,0,79,3428,0
CT56,Rural,0,0,0,0,0,0
CT56,Town,0,0,0,0,0,0
CT57,Metropolitan,0,713,0,106,1768,0
CT57,Rural,0,0,0,0,0,0
CT57,Town,0,0,0,0,0,0
CT58,Metropolitan,0,638,0,0,2421,0
CT58,Rural,0,0,0,0,0,0
