GEOID10,Type,A24,A5P,MH,SFA,SFD,GQ
13013180103,Metropolitan,0,225,0,0,0,0
13013180104,Metropolitan,0,0,0,0,0,0
13013180105,Metropolitan,0,105,0,0,0,0
13013180106,Metropolitan,0,0,0,0,0,0
13013180107,Metropolitan,0,0,0,0,0,0
13013180108,Metropolitan,0,141,0,0,0,0
13013180203,Metropolitan,0,1152,0,52,0,0
13013180204,Metropolitan,0,0,0,0,0,0
13013180205,Metropolitan,0,526,0,0,0,0
13013180206,Metropolitan,0,300,0,66,0,0
13013180301,Metropolitan,0,253,0,0,0,0
13013180302,Metropolitan,0,0,0,0,0,0
13013180303,Metropolitan,0,0,0,0,0,0
13013180401,Metropolitan,0,79,0,0,0,0
13013180402,Metropolitan,0,156,0,0,0,0
13013180501,Metropolitan,0,0,0,0,0,0
13013180502,Metropolitan,0,356,0,596,1441,0
13013180503,Metropolitan,0,2066,0,0,4102,0
13015960101,Metropolitan,0,396,0,0,413,0
13015960102,Metropolitan,0,2056,0,104,2440,0
13015960200,Metropolitan,0,9017,0,639,4483,0
13015960300,Metropolitan,0,4576,0,310,1151,0
13015960401,Metropolitan,0,921,0,0,0,0
13015960402,Metropolitan,0,1586,0,0,363,0
13015960500,Metropolitan,0,438,0,0,151,0
13015960600,Metropolitan,0,995,0,552,1067,0
13015960700,Metropolitan,0,808,0,796,490,0
13015960801,Metropolitan,0,736,0,0,225,0
13015960802,Metropolitan,0,0,0,0,0,0
13015960803,Metropolitan,0,1025,0,0,1534,0
13015960901,Metropolitan,0,339,0,0,0,0
13015960902,Metropolitan,0,565,0,0,177,0
13015961000,Metropolitan,0,772,156,0,232,0
13045910101,Metropolitan,0,809,0,0,3508,0
13045910103,Metropolitan,0,674,0,0,2096,0
13045910104,Metropolitan,0,993,0,285,2586,0
13045910200,Metropolitan,0,3187,0,0,4787,0
13045910300,Metropolitan,0,257,0,268,3677,0
13045910400,Metropolitan,0,3254,0,0,1497,0
13045910501,Metropolitan,0,968,0,0,995,0
13045910502,Metropolitan,0,563,0,0,1125,0
13045910600,Metropolitan,0,0,0,115,1473,0
13045910701,Metropolitan,0,3115,0,412,2011,0
13045910702,Metropolitan,0,962,0,0,489,0
13045910703,Metropolitan,0,2164,0,0,2160,0
13045910800,Metropolitan,0,82,0,167,1138,0
13045910900,Metropolitan,0,2924,0,0,3388,0
13045911000,Metropolitan,0,1228,0,0,1320,0
13045911100,Metropolitan,0,3294,0,295,4424,0
13045911200,Metropolitan,0,173,0,202,3683,0
13057090100,Metropolitan,0,1154,0,424,3313,0
13057090200,Metropolitan,0,3221,0,0,3771,0
13057090300,Metropolitan,0,7334,130,1050,7240,0
13057090400,Metropolitan,0,2268,0,0,1471,0
13057090501,Metropolitan,0,6902,0,56,3860,0
13057090502,Metropolitan,0,2701,0,79,3428,0
13057090601,Metropolitan,0,713,0,106,1768,0
13057090602,Metropolitan,0,638,0,0,2421,0
13057090701,Metropolitan,0,1703,0,1216,5388,0
13057090702,Metropolitan,0,2705,0,171,2047,0
13057090802,Metropolitan,0,115,0,0,1400,0
13057090803,Metropolitan,0,0,0,0,831,0
13057090804,Metropolitan,0,0,0,0,472,0
13057090901,Metropolitan,0,1111,0,238,1873,0
13057090902,Metropolitan,0,466,0,676,1889,0
13057090904,Metropolitan,0,1092,0,605,841,0
13057090905,Metropolitan,0,0,0,0,524,0
13057091001,Metropolitan,0,1872,0,125,1039,0
13057091003,Metropolitan,0,1375,0,508,136,0
13057091005,Metropolitan,0,2177,0,88,337,0
13057091006,Metropolitan,0,0,0,0,98,0
13057091007,Metropolitan,0,0,0,0,2267,0
13057091008,Metropolitan,0,0,0,0,1804,0
13057091101,Metropolitan,0,0,0,354,727,0
13057091102,Metropolitan,0,279,0,0,1305,0
13057091103,Metropolitan,0,504,0,0,1113,0
13063040202,Metropolitan,0,0,0,0,1134,0
13063040203,Metropolitan,0,0,0,0,1502,0
13063040204,Metropolitan,0,0,0,0,0,0
13063040302,Metropolitan,0,0,0,0,0,0
13063040303,Metropolitan,0,339,0,186,1101,0
13063040306,Metropolitan,0,80,0,0,192,0
13063040307,Metropolitan,0,619,0,0,192,0
13063040308,Metropolitan,0,733,0,0,1404,0
13063040407,Metropolitan,0,0,0,0,475,0
13063040408,Metropolitan,0,0,0,391,3697,0
