District,Type,2005,2010,2038,2050
1030_1030_xxx,Town,0,0,0,0
1031_1031_xxx,Metropolitan,700,700,700,700
1031_1031_xxx,Rural,0,0,0,0
1031_1031_xxx,Town,0,0,0,0
1032_1032_xxx,Metropolitan,700,700,700,700
1032_1032_xxx,Rural,0,0,0,0
1032_1032_xxx,Town,0,0,0,0
1033_1033_xxx,Metropolitan,700,700,700,700
1033_1033_xxx,Rural,0,0,0,0
1033_1033_xxx,Town,0,0,0,0
1034_1034_xxx,Metropolitan,11129.08,11129.08,11129.08,11129.08
1034_1034_xxx,Rural,0,0,0,0
1034_1034_xxx,Town,0,0,0,0
1035_1035_xxx,Metropolitan,700,700,700,700
1035_1035_xxx,Rural,0,0,0,0
1035_1035_xxx,Town,0,0,0,0
1036_1036_xxx,Metropolitan,700,700,700,700
1036_1036_xxx,Rural,0,0,0,0
1036_1036_xxx,Town,0,0,0,0
1037_1037_xxx,Metropolitan,6352.21,6352.21,6352.21,6352.21
1037_1037_xxx,Rural,0,0,0,0
1037_1037_xxx,Town,0,0,0,0
1038_1038_xxx,Metropolitan,700,700,700,700
1038_1038_xxx,Rural,0,0,0,0
1038_1038_xxx,Town,0,0,0,0
1039_1039_xxx,Metropolitan,700,700,281.15,281.15
1039_1039_xxx,Rural,0,0,0,0
1039_1039_xxx,Town,0,0,0,0
104_104_xxx,Metropolitan,20588.14,20588.14,20306.99,20306.99
104_104_xxx,Rural,0,0,0,0
104_104_xxx,Town,0,0,0,0
1040_1040_xxx,Metropolitan,20588.14,20588.14,20306.99,20306.99
1040_1040_xxx,Rural,0,0,0,0
1040_1040_xxx,Town,0,0,0,0
1041_1041_xxx,Metropolitan,700,700,700,700
1041_1041_xxx,Rural,0,0,0,0
1041_1041_xxx,Town,0,0,0,0
1042_1042_xxx,Metropolitan,669.62,669.62,669.62,669.62
1042_1042_xxx,Rural,0,0,0,0
1042_1042_xxx,Town,0,0,0,0
1043_1043_xxx,Metropolitan,2260.13,2260.13,2260.13,2260.13
1043_1043_xxx,Rural,0,0,0,0
1043_1043_xxx,Town,0,0,0,0
1044_1044_xxx,Metropolitan,700,700,700,700
1044_1044_xxx,Rural,0,0,0,0
1044_1044_xxx,Town,0,0,0,0
1045_1045_xxx,Metropolitan,769.72,769.72,900.42,900.42
1045_1045_xxx,Rural,0,0,0,0
1045_1045_xxx,Town,0,0,0,0
1046_1046_xxx,Metropolitan,1824.78,1824.78,1694.08,1694.08
1046_1046_xxx,Rural,0,0,0,0
1046_1046_xxx,Town,0,0,0,0
1047_1047_xxx,Metropolitan,700,700,700,700
1047_1047_xxx,Rural,0,0,0,0
1047_1047_xxx,Town,0,0,0,0
1048_1048_xxx,Metropolitan,646.33,646.33,646.33,646.33
1048_1048_xxx,Rural,0,0,0,0
1048_1048_xxx,Town,0,0,0,0
1049_1049_xxx,Metropolitan,700,700,700,700
1049_1049_xxx,Rural,0,0,0,0
1049_1049_xxx,Town,0,0,0,0
105_105_xxx,Metropolitan,700,700,700,700
105_105_xxx,Rural,0,0,0,0
105_105_xxx,Town,0,0,0,0
1050_1050_xxx,Metropolitan,700,700,700,700
1050_1050_xxx,Rural,0,0,0,0
1050_1050_xxx,Town,0,0,0,0
1051_1051_xxx,Metropolitan,830.8680548,830.8680548,830.8680548,830.8680548
1051_1051_xxx,Rural,0,0,0,0
1051_1051_xxx,Town,0,0,0,0
1052_1052_xxx,Metropolitan,59.26775554,59.26775554,59.26775554,59.26775554
1052_1052_xxx,Rural,0,0,0,0
1052_1052_xxx,Town,0,0,0,0
1053_1053_xxx,Metropolitan,700,700,700,700
1053_1053_xxx,Rural,0,0,0,0
1053_1053_xxx,Town,0,0,0,0
1054_1054_xxx,Metropolitan,742.25,742.25,840.17,840.17
1054_1054_xxx,Rural,0,0,0,0
1054_1054_xxx,Town,0,0,0,0
1055_1055_xxx,Metropolitan,5228.62,5228.62,5130.69,5130.69
1055_1055_xxx,Rural,0,0,0,0
1055_1055_xxx,Town,0,0,0,0
1056_1056_xxx,Metropolitan,700,700,700,700
1056_1056_xxx,Rural,0,0,0,0
1056_1056_xxx,Town,0,0,0,0
1057_1057_xxx,Metropolitan,676.09,676.09,676.09,676.09
1057_1057_xxx,Rural,0,0,0,0
1057_1057_xxx,Town,0,0,0,0
1058_1058_xxx,Metropolitan,1121.83,1121.83,1121.83,1121.83
1058_1058_xxx,Rural,0,0,0,0
1058_1058_xxx,Town,0,0,0,0
1059_1059_xxx,Metropolitan,700,700,700,700
1059_1059_xxx,Rural,0,0,0,0
1059_1059_xxx,Town,0,0,0,0
106_106_xxx,Metropolitan,669.62,669.62,669.62,669.62
106_106_xxx,Rural,0,0,0,0
106_106_xxx,Town,0,0,0,0
1060_1060_xxx,Metropolitan,828.47,828.47,1477.79,1477.79
1060_1060_xxx,Rural,0,0,0,0
1060_1060_xxx,Town,0,0,0,0
1061_1061_xxx,Metropolitan,5301.52,5301.52,4652.2,4652.2
1061_1061_xxx,Rural,0,0,0,0
1061_1061_xxx,Town,0,0,0,0
1062_1062_xxx,Metropolitan,700,700,700,700
1062_1062_xxx,Rural,0,0,0,0
1062_1062_xxx,Town,0,0,0,0
1063_1063_xxx,Metropolitan,395.96,395.96,536,536
1063_1063_xxx,Rural,0,0,0,0
1063_1063_xxx,Town,0,0,0,0
1064_1064_xxx,Metropolitan,12901.68,12901.68,12761.65,12761.65
1064_1064_xxx,Rural,0,0,0,0
1064_1064_xxx,Town,0,0,0,0
1065_1065_xxx,Metropolitan,700,700,700,700
1065_1065_xxx,Rural,0,0,0,0
1065_1065_xxx,Town,0,0,0,0
1066_1066_xxx,Metropolitan,859.4640704,859.4640704,1032.43,1032.43
1066_1066_xxx,Rural,0,0,0,0
1066_1066_xxx,Town,0,0,0,0
1067_1067_xxx,Metropolitan,172.9709032,172.9709032,700,700
1067_1067_xxx,Rural,0,0,0,0
1067_1067_xxx,Town,0,0,0,0
1068_1068_xxx,Metropolitan,700,700,700,700
1068_1068_xxx,Rural,0,0,0,0
1068_1068_xxx,Town,0,0,0,0
1069_1069_xxx,Metropolitan,700,700,1624.47,1624.47
1069_1069_xxx,Rural,0,0,0,0
1069_1069_xxx,Town,0,0,0,0
107_107_xxx,Metropolitan,2260.13,2260.13,2260.13,2260.13
107_107_xxx,Rural,0,0,0,0
107_107_xxx,Town,0,0,0,0
1070_1070_xxx,Metropolitan,8021.8,8021.8,6397.34,6397.34
1070_1070_xxx,Rural,0,0,0,0
1070_1070_xxx,Town,0,0,0,0
1071_1071_xxx,Metropolitan,700,700,700,700
1071_1071_xxx,Rural,0,0,0,0
1071_1071_xxx,Town,0,0,0,0
1072_1072_xxx,Metropolitan,965.38,965.38,932.84,932.84
1072_1072_xxx,Rural,0,0,0,0
1072_1072_xxx,Town,0,0,0,0
1073_1073_xxx,Metropolitan,1575.7,1575.7,1608.23,1608.23
1073_1073_xxx,Rural,0,0,0,0
1073_1073_xxx,Town,0,0,0,0
1074_1074_xxx,Metropolitan,700,700,700,700
1074_1074_xxx,Rural,0,0,0,0
1074_1074_xxx,Town,0,0,0,0
1075_1075_xxx,Metropolitan,1019.2,1019.2,1019.2,1019.2
1075_1075_xxx,Rural,0,0,0,0
1075_1075_xxx,Town,0,0,0,0
1076_1076_xxx,Metropolitan,2912.23,2912.23,2912.23,2912.23
1076_1076_xxx,Rural,0,0,0,0
1076_1076_xxx,Town,0,0,0,0
1077_1077_xxx,Metropolitan,700,700,700,700
1077_1077_xxx,Rural,0,0,0,0
1077_1077_xxx,Town,0,0,0,0
1078_1078_xxx,Metropolitan,1118.12,1118.12,1118.12,1118.12
1078_1078_xxx,Rural,0,0,0,0
1078_1078_xxx,Town,0,0,0,0
1079_1079_xxx,Metropolitan,335.76,335.76,335.76,335.76
1079_1079_xxx,Rural,0,0,0,0
1079_1079_xxx,Town,0,0,0,0
108_108_xxx,Metropolitan,700,700,700,700
108_108_xxx,Rural,0,0,0,0
108_108_xxx,Town,0,0,0,0
1080_1080_xxx,Metropolitan,700,700,700,700
1080_1080_xxx,Rural,0,0,0,0
1080_1080_xxx,Town,0,0,0,0
1081_1081_xxx,Metropolitan,54.4,54.4,54.4,54.4
1081_1081_xxx,Rural,0,0,0,0
1081_1081_xxx,Town,0,0,0,0
1082_1082_xxx,Metropolitan,6187.94,6187.94,6187.94,6187.94
1082_1082_xxx,Rural,0,0,0,0
1082_1082_xxx,Town,0,0,0,0
1083_1083_xxx,Metropolitan,700,700,700,700
1083_1083_xxx,Rural,0,0,0,0
1083_1083_xxx,Town,0,0,0,0
1084_1084_xxx,Metropolitan,2267.132995,2267.132995,5222.93,5222.93
1084_1084_xxx,Rural,0,0,0,0
1084_1084_xxx,Town,0,0,0,0
1085_1085_xxx,Metropolitan,3882.711806,3882.711806,926.92,926.92
1085_1085_xxx,Rural,0,0,0,0
1085_1085_xxx,Town,0,0,0,0
1086_1086_xxx,Metropolitan,700,700,700,700
1086_1086_xxx,Rural,0,0,0,0
1086_1086_xxx,Town,0,0,0,0
1087_1087_xxx,Metropolitan,637.29,637.29,649.57,649.57
1087_1087_xxx,Rural,0,0,0,0
1087_1087_xxx,Town,0,0,0,0
1088_1088_xxx,Metropolitan,45.93,45.93,33.66,33.66
1088_1088_xxx,Rural,0,0,0,0
1088_1088_xxx,Town,0,0,0,0
1089_1089_xxx,Metropolitan,700,700,700,700
1089_1089_xxx,Rural,0,0,0,0
1089_1089_xxx,Town,0,0,0,0
109_109_xxx,Metropolitan,769.72,769.72,900.42,900.42
109_109_xxx,Rural,0,0,0,0
109_109_xxx,Town,0,0,0,0
1090_1090_xxx,Metropolitan,496.78,496.78,1006.37,1006.37
1090_1090_xxx,Rural,0,0,0,0
1090_1090_xxx,Town,0,0,0,0
1091_1091_xxx,Metropolitan,3281.03,3281.03,2771.44,2771.44
1091_1091_xxx,Rural,0,0,0,0
1091_1091_xxx,Town,0,0,0,0
1092_1092_xxx,Metropolitan,700,700,700,700
1092_1092_xxx,Rural,0,0,0,0
1092_1092_xxx,Town,0,0,0,0
1093_1093_xxx,Metropolitan,1094.393903,1094.393903,1440.818532,1440.818532
1093_1093_xxx,Rural,0,0,0,0
1093_1093_xxx,Town,0,0,0,0
1094_1094_xxx,Metropolitan,941.724623,941.724623,595.2999934,595.2999934
1094_1094_xxx,Rural,0,0,0,0
1094_1094_xxx,Town,0,0,0,0
1095_1095_xxx,Metropolitan,700,700,700,700
1095_1095_xxx,Rural,0,0,0,0
1095_1095_xxx,Town,0,0,0,0
1096_1096_xxx,Metropolitan,869.6,869.6,869.6,869.6
1096_1096_xxx,Rural,0,0,0,0
1096_1096_xxx,Town,0,0,0,0
1097_1097_xxx,Metropolitan,700,700,700,700
1097_1097_xxx,Rural,0,0,0,0
1097_1097_xxx,Town,0,0,0,0
1098_1098_xxx,Metropolitan,700,700,700,700
1098_1098_xxx,Rural,0,0,0,0
1098_1098_xxx,Town,0,0,0,0
1099_1099_xxx,Metropolitan,859.56,859.56,859.56,859.56
1099_1099_xxx,Rural,0,0,0,0
1099_1099_xxx,Town,0,0,0,0
11_11_xxx,Metropolitan,12901.68,12901.68,12761.65,12761.65
11_11_xxx,Rural,0,0,0,0
11_11_xxx,Town,0,0,0,0
110_110_xxx,Metropolitan,1824.78,1824.78,1694.08,1694.08
110_110_xxx,Rural,0,0,0,0
110_110_xxx,Town,0,0,0,0
1100_1100_xxx,Metropolitan,700,700,700,700
1100_1100_xxx,Rural,0,0,0,0
1100_1100_xxx,Town,0,0,0,0
1101_1101_xxx,Metropolitan,700,700,700,700
1101_1101_xxx,Rural,0,0,0,0
1101_1101_xxx,Town,0,0,0,0
1102_1102_xxx,Metropolitan,921.63,921.63,1324.95,1324.95
1102_1102_xxx,Rural,0,0,0,0
1102_1102_xxx,Town,0,0,0,0
1103_1103_xxx,Metropolitan,403.32,403.32,700,700
1103_1103_xxx,Rural,0,0,0,0
1103_1103_xxx,Town,0,0,0,0
1104_1104_xxx,Metropolitan,700,700,700,700
1104_1104_xxx,Rural,0,0,0,0
1104_1104_xxx,Town,0,0,0,0
1105_1105_xxx,Metropolitan,640.79,640.79,640.79,640.79
1105_1105_xxx,Rural,0,0,0,0
1105_1105_xxx,Town,0,0,0,0
1106_1106_xxx,Metropolitan,700,700,700,700
1106_1106_xxx,Rural,0,0,0,0
1106_1106_xxx,Town,0,0,0,0
1107_1107_xxx,Metropolitan,700,700,700,700
1107_1107_xxx,Rural,0,0,0,0
1107_1107_xxx,Town,0,0,0,0
1108_1108_xxx,Metropolitan,784.62,784.62,784.62,784.62
1108_1108_xxx,Rural,0,0,0,0
1108_1108_xxx,Town,0,0,0,0
1109_1109_xxx,Metropolitan,3225.18,3225.18,3225.18,3225.18
1109_1109_xxx,Rural,0,0,0,0
1109_1109_xxx,Town,0,0,0,0
111_111_xxx,Metropolitan,700,700,700,700
111_111_xxx,Rural,0,0,0,0
111_111_xxx,Town,0,0,0,0
1110_1110_xxx,Metropolitan,700,700,700,700
1110_1110_xxx,Rural,0,0,0,0
1110_1110_xxx,Town,0,0,0,0
1111_1111_xxx,Metropolitan,963.7682601,963.7682601,1138.83,1138.83
1111_1111_xxx,Rural,0,0,0,0
1111_1111_xxx,Town,0,0,0,0
1112_1112_xxx,Metropolitan,175.0569068,175.0569068,700,700
1112_1112_xxx,Rural,0,0,0,0
1112_1112_xxx,Town,0,0,0,0
1113_1113_xxx,Metropolitan,700,700,700,700
1113_1113_xxx,Rural,0,0,0,0
1113_1113_xxx,Town,0,0,0,0
1114_1114_xxx,Metropolitan,752.29,752.29,1254.43,1254.43
1114_1114_xxx,Rural,0,0,0,0
1114_1114_xxx,Town,0,0,0,0
1115_1115_xxx,Metropolitan,4971.97,4971.97,4469.84,4469.84
1115_1115_xxx,Rural,0,0,0,0
1115_1115_xxx,Town,0,0,0,0
1116_1116_xxx,Metropolitan,700,700,700,700
1116_1116_xxx,Rural,0,0,0,0
1116_1116_xxx,Town,0,0,0,0
1117_1117_xxx,Metropolitan,1934.24,1934.24,2361.12,2361.12
1117_1117_xxx,Rural,0,0,0,0
1117_1117_xxx,Town,0,0,0,0
1118_1118_xxx,Metropolitan,9725.79,9725.79,9298.91,9298.91
1118_1118_xxx,Rural,0,0,0,0
1118_1118_xxx,Town,0,0,0,0
1119_1119_xxx,Metropolitan,700,700,700,700
1119_1119_xxx,Rural,0,0,0,0
1119_1119_xxx,Town,0,0,0,0
112_112_xxx,Metropolitan,646.33,646.33,646.33,646.33
112_112_xxx,Rural,0,0,0,0
112_112_xxx,Town,0,0,0,0
1120_1120_xxx,Metropolitan,678.56,678.56,678.56,678.56
1120_1120_xxx,Rural,0,0,0,0
1120_1120_xxx,Town,0,0,0,0
1121_1121_xxx,Metropolitan,700,700,700,700
1121_1121_xxx,Rural,0,0,0,0
1121_1121_xxx,Town,0,0,0,0
1122_1122_xxx,Metropolitan,700,700,700,700
1122_1122_xxx,Rural,0,0,0,0
1122_1122_xxx,Town,0,0,0,0
1123_1123_xxx,Metropolitan,530.8,530.8,660.14,660.14
1123_1123_xxx,Rural,0,0,0,0
1123_1123_xxx,Town,0,0,0,0
1124_1124_xxx,Metropolitan,367.15,367.15,237.81,237.81
1124_1124_xxx,Rural,0,0,0,0
1124_1124_xxx,Town,0,0,0,0
1125_1125_xxx,Metropolitan,700,700,700,700
1125_1125_xxx,Rural,0,0,0,0
1125_1125_xxx,Town,0,0,0,0
1126_1126_xxx,Metropolitan,667.73,667.73,667.73,667.73
1126_1126_xxx,Rural,0,0,0,0
1126_1126_xxx,Town,0,0,0,0
1127_1127_xxx,Metropolitan,700,700,700,700
1127_1127_xxx,Rural,0,0,0,0
1127_1127_xxx,Town,0,0,0,0
1128_1128_xxx,Metropolitan,700,700,700,700
1128_1128_xxx,Rural,0,0,0,0
1128_1128_xxx,Town,0,0,0,0
1129_1129_xxx,Metropolitan,895.08,895.08,1102.91,1102.91
1129_1129_xxx,Rural,0,0,0,0
1129_1129_xxx,Town,0,0,0,0
113_113_xxx,Metropolitan,700,700,700,700
113_113_xxx,Rural,0,0,0,0
113_113_xxx,Town,0,0,0,0
1130_1130_xxx,Metropolitan,4394.53,4394.53,4186.7,4186.7
1130_1130_xxx,Rural,0,0,0,0
1130_1130_xxx,Town,0,0,0,0
1131_1131_xxx,Metropolitan,700,700,700,700
1131_1131_xxx,Rural,0,0,0,0
1131_1131_xxx,Town,0,0,0,0
1132_1132_xxx,Metropolitan,611.58,611.58,611.58,611.58
1132_1132_xxx,Rural,0,0,0,0
1132_1132_xxx,Town,0,0,0,0
1133_1133_xxx,Metropolitan,700,700,700,700
1133_1133_xxx,Rural,0,0,0,0
1133_1133_xxx,Town,0,0,0,0
1134_1134_xxx,Metropolitan,700,700,700,700
1134_1134_xxx,Rural,0,0,0,0
1134_1134_xxx,Town,0,0,0,0
1135_1135_xxx,Metropolitan,700,700,1951.19,1951.19
1135_1135_xxx,Rural,0,0,0,0
1135_1135_xxx,Town,0,0,0,0
1136_1136_xxx,Metropolitan,3967.49,3967.49,2016.31,2016.31
1136_1136_xxx,Rural,0,0,0,0
1136_1136_xxx,Town,0,0,0,0
1137_1137_xxx,Metropolitan,700,700,700,700
1137_1137_xxx,Rural,0,0,0,0
1137_1137_xxx,Town,0,0,0,0
1138_1138_xxx,Metropolitan,700,700,700,700
1138_1138_xxx,Rural,0,0,0,0
1138_1138_xxx,Town,0,0,0,0
1139_1139_xxx,Metropolitan,6291.35,6291.35,6291.35,6291.35
1139_1139_xxx,Rural,0,0,0,0
1139_1139_xxx,Town,0,0,0,0
114_114_xxx,Metropolitan,700,700,700,700
114_114_xxx,Rural,0,0,0,0
114_114_xxx,Town,0,0,0,0
1140_1140_xxx,Metropolitan,700,700,700,700
1140_1140_xxx,Rural,0,0,0,0
1140_1140_xxx,Town,0,0,0,0
1141_1141_xxx,Metropolitan,298.27,298.27,298.27,298.27
1141_1141_xxx,Rural,0,0,0,0
1141_1141_xxx,Town,0,0,0,0
1142_1142_xxx,Metropolitan,5220.14,5220.14,5220.14,5220.14
1142_1142_xxx,Rural,0,0,0,0
1142_1142_xxx,Town,0,0,0,0
1143_1143_xxx,Metropolitan,700,700,700,700
1143_1143_xxx,Rural,0,0,0,0
1143_1143_xxx,Town,0,0,0,0
1144_1144_xxx,Metropolitan,991.45,991.45,1054.81,1054.81
1144_1144_xxx,Rural,0,0,0,0
1144_1144_xxx,Town,0,0,0,0
1145_1145_xxx,Metropolitan,285.87,285.87,222.51,222.51
1145_1145_xxx,Rural,0,0,0,0
1145_1145_xxx,Town,0,0,0,0
1146_1146_xxx,Metropolitan,700,700,700,700
1146_1146_xxx,Rural,0,0,0,0
1146_1146_xxx,Town,0,0,0,0
1147_1147_xxx,Metropolitan,576.41,576.41,576.41,576.41
1147_1147_xxx,Rural,0,0,0,0
1147_1147_xxx,Town,0,0,0,0
1148_1148_xxx,Metropolitan,700,700,700,700
1148_1148_xxx,Rural,0,0,0,0
1148_1148_xxx,Town,0,0,0,0
1149_1149_xxx,Metropolitan,700,700,700,700
1149_1149_xxx,Rural,0,0,0,0
1149_1149_xxx,Town,0,0,0,0
115_115_xxx,Metropolitan,830.8680548,830.8680548,830.8680548,830.8680548
115_115_xxx,Rural,0,0,0,0
115_115_xxx,Town,0,0,0,0
1150_1150_xxx,Metropolitan,700,700,700,700
1150_1150_xxx,Rural,0,0,0,0
1150_1150_xxx,Town,0,0,0,0
1151_1151_xxx,Metropolitan,11129.08,11129.08,11129.08,11129.08
1151_1151_xxx,Rural,0,0,0,0
1151_1151_xxx,Town,0,0,0,0
1152_1152_xxx,Metropolitan,700,700,700,700
1152_1152_xxx,Rural,0,0,0,0
1152_1152_xxx,Town,0,0,0,0
1153_1153_xxx,Metropolitan,700,700,700,700
1153_1153_xxx,Rural,0,0,0,0
1153_1153_xxx,Town,0,0,0,0
1154_1154_xxx,Metropolitan,6352.21,6352.21,6352.21,6352.21
1154_1154_xxx,Rural,0,0,0,0
1154_1154_xxx,Town,0,0,0,0
1155_1155_xxx,Metropolitan,700,700,700,700
1155_1155_xxx,Rural,0,0,0,0
1155_1155_xxx,Town,0,0,0,0
1156_1156_xxx,Metropolitan,700,700,281.15,281.15
1156_1156_xxx,Rural,0,0,0,0
1156_1156_xxx,Town,0,0,0,0
1157_1157_xxx,Metropolitan,20588.14,20588.14,20306.99,20306.99
1157_1157_xxx,Rural,0,0,0,0
1157_1157_xxx,Town,0,0,0,0
1158_1158_xxx,Metropolitan,700,700,700,700
1158_1158_xxx,Rural,0,0,0,0
1158_1158_xxx,Town,0,0,0,0
1159_1159_xxx,Metropolitan,669.62,669.62,669.62,669.62
1159_1159_xxx,Rural,0,0,0,0
1159_1159_xxx,Town,0,0,0,0
116_116_xxx,Metropolitan,59.26775554,59.26775554,59.26775554,59.26775554
116_116_xxx,Rural,0,0,0,0
116_116_xxx,Town,0,0,0,0
1160_1160_xxx,Metropolitan,2260.13,2260.13,2260.13,2260.13
1160_1160_xxx,Rural,0,0,0,0
1160_1160_xxx,Town,0,0,0,0
1161_1161_xxx,Metropolitan,700,700,700,700
1161_1161_xxx,Rural,0,0,0,0
1161_1161_xxx,Town,0,0,0,0
1162_1162_xxx,Metropolitan,769.72,769.72,900.42,900.42
1162_1162_xxx,Rural,0,0,0,0
1162_1162_xxx,Town,0,0,0,0
1163_1163_xxx,Metropolitan,1824.78,1824.78,1694.08,1694.08
1163_1163_xxx,Rural,0,0,0,0
1163_1163_xxx,Town,0,0,0,0
1164_1164_xxx,Metropolitan,700,700,700,700
1164_1164_xxx,Rural,0,0,0,0
1164_1164_xxx,Town,0,0,0,0
1165_1165_xxx,Metropolitan,646.33,646.33,646.33,646.33
1165_1165_xxx,Rural,0,0,0,0
1165_1165_xxx,Town,0,0,0,0
1166_1166_xxx,Metropolitan,700,700,700,700
1166_1166_xxx,Rural,0,0,0,0
1166_1166_xxx,Town,0,0,0,0
1167_1167_xxx,Metropolitan,700,700,700,700
1167_1167_xxx,Rural,0,0,0,0
1167_1167_xxx,Town,0,0,0,0
1168_1168_xxx,Metropolitan,830.8680548,830.8680548,830.8680548,830.8680548
1168_1168_xxx,Rural,0,0,0,0
1168_1168_xxx,Town,0,0,0,0
1169_1169_xxx,Metropolitan,59.26775554,59.26775554,59.26775554,59.26775554
1169_1169_xxx,Rural,0,0,0,0
1169_1169_xxx,Town,0,0,0,0
117_117_xxx,Metropolitan,700,700,700,700
117_117_xxx,Rural,0,0,0,0
117_117_xxx,Town,0,0,0,0
