District,Type,2005,2010,2038,2050
1_1_xxx,Metropolitan,742.25,742.25,840.17,840.17
1_1_xxx,Rural,0,0,0,0
1_1_xxx,Town,0,0,0,0
10_10_xxx,Metropolitan,395.96,395.96,536,536
10_10_xxx,Rural,0,0,0,0
10_10_xxx,Town,0,0,0,0
100_100_xxx,Metropolitan,700,700,700,700
100_100_xxx,Rural,0,0,0,0
100_100_xxx,Town,0,0,0,0
1000_1000_xxx,Metropolitan,1934.24,1934.24,2361.12,2361.12
1000_1000_xxx,Rural,0,0,0,0
1000_1000_xxx,Town,0,0,0,0
1001_1001_xxx,Metropolitan,9725.79,9725.79,9298.91,9298.91
1001_1001_xxx,Rural,0,0,0,0
1001_1001_xxx,Town,0,0,0,0
1002_1002_xxx,Metropolitan,700,700,700,700
1002_1002_xxx,Rural,0,0,0,0
1002_1002_xxx,Town,0,0,0,0
1003_1003_xxx,Metropolitan,678.56,678.56,678.56,678.56
1003_1003_xxx,Rural,0,0,0,0
1003_1003_xxx,Town,0,0,0,0
1004_1004_xxx,Metropolitan,700,700,700,700
1004_1004_xxx,Rural,0,0,0,0
1004_1004_xxx,Town,0,0,0,0
1005_1005_xxx,Metropolitan,700,700,700,700
1005_1005_xxx,Rural,0,0,0,0
1005_1005_xxx,Town,0,0,0,0
1006_1006_xxx,Metropolitan,530.8,530.8,660.14,660.14
1006_1006_xxx,Rural,0,0,0,0
1006_1006_xxx,Town,0,0,0,0
1007_1007_xxx,Metropolitan,367.15,367.15,237.81,237.81
1007_1007_xxx,Rural,0,0,0,0
1007_1007_xxx,Town,0,0,0,0
1008_1008_xxx,Metropolitan,700,700,700,700
1008_1008_xxx,Rural,0,0,0,0
1008_1008_xxx,Town,0,0,0,0
1009_1009_xxx,Metropolitan,667.73,667.73,667.73,667.73
1009_1009_xxx,Rural,0,0,0,0
1009_1009_xxx,Town,0,0,0,0
101_101_xxx,Metropolitan,6352.21,6352.21,6352.21,6352.21
101_101_xxx,Rural,0,0,0,0
101_101_xxx,Town,0,0,0,0
1010_1010_xxx,Metropolitan,700,700,700,700
1010_1010_xxx,Rural,0,0,0,0
1010_1010_xxx,Town,0,0,0,0
1011_1011_xxx,Metropolitan,700,700,700,700
1011_1011_xxx,Rural,0,0,0,0
1011_1011_xxx,Town,0,0,0,0
1012_1012_xxx,Metropolitan,895.08,895.08,1102.91,1102.91
1012_1012_xxx,Rural,0,0,0,0
1012_1012_xxx,Town,0,0,0,0
1013_1013_xxx,Metropolitan,4394.53,4394.53,4186.7,4186.7
1013_1013_xxx,Rural,0,0,0,0
1013_1013_xxx,Town,0,0,0,0
1014_1014_xxx,Metropolitan,700,700,700,700
1014_1014_xxx,Rural,0,0,0,0
1014_1014_xxx,Town,0,0,0,0
1015_1015_xxx,Metropolitan,611.58,611.58,611.58,611.58
1015_1015_xxx,Rural,0,0,0,0
1015_1015_xxx,Town,0,0,0,0
1016_1016_xxx,Metropolitan,700,700,700,700
1016_1016_xxx,Rural,0,0,0,0
1016_1016_xxx,Town,0,0,0,0
1017_1017_xxx,Metropolitan,700,700,700,700
1017_1017_xxx,Rural,0,0,0,0
1017_1017_xxx,Town,0,0,0,0
1018_1018_xxx,Metropolitan,700,700,1951.19,1951.19
1018_1018_xxx,Rural,0,0,0,0
1018_1018_xxx,Town,0,0,0,0
1019_1019_xxx,Metropolitan,3967.49,3967.49,2016.31,2016.31
1019_1019_xxx,Rural,0,0,0,0
1019_1019_xxx,Town,0,0,0,0
102_102_xxx,Metropolitan,700,700,700,700
102_102_xxx,Rural,0,0,0,0
102_102_xxx,Town,0,0,0,0
1020_1020_xxx,Metropolitan,700,700,700,700
1020_1020_xxx,Rural,0,0,0,0
1020_1020_xxx,Town,0,0,0,0
1021_1021_xxx,Metropolitan,700,700,700,700
1021_1021_xxx,Rural,0,0,0,0
1021_1021_xxx,Town,0,0,0,0
1022_1022_xxx,Metropolitan,6291.35,6291.35,6291.35,6291.35
1022_1022_xxx,Rural,0,0,0,0
1022_1022_xxx,Town,0,0,0,0
1023_1023_xxx,Metropolitan,700,700,700,700
1023_1023_xxx,Rural,0,0,0,0
1023_1023_xxx,Town,0,0,0,0
1024_1024_xxx,Metropolitan,298.27,298.27,298.27,298.27
1024_1024_xxx,Rural,0,0,0,0
1024_1024_xxx,Town,0,0,0,0
1025_1025_xxx,Metropolitan,5220.14,5220.14,5220.14,5220.14
1025_1025_xxx,Rural,0,0,0,0
1025_1025_xxx,Town,0,0,0,0
1026_1026_xxx,Metropolitan,700,700,700,700
1026_1026_xxx,Rural,0,0,0,0
1026_1026_xxx,Town,0,0,0,0
1027_1027_xxx,Metropolitan,991.45,991.45,1054.81,1054.81
1027_1027_xxx,Rural,0,0,0,0
1027_1027_xxx,Town,0,0,0,0
1028_1028_xxx,Metropolitan,285.87,285.87,222.51,222.51
1028_1028_xxx,Rural,0,0,0,0
1028_1028_xxx,Town,0,0,0,0
1029_1029_xxx,Metropolitan,700,700,700,700
1029_1029_xxx,Rural,0,0,0,0
1029_1029_xxx,Town,0,0,0,0
103_103_xxx,Metropolitan,700,700,281.15,281.15
103_103_xxx,Rural,0,0,0,0
103_103_xxx,Town,0,0,0,0
1030_1030_xxx,Metropolitan,576.41,576.41,576.41,576.41
1030_1030_xxx,Rural,0,0,0,0
