Year,Income
1990,18442.3149
1995,20491.461
2000,22768.29
2005,25298.1
2010,28109
2015,30886.9
2020,33975.59
2025,37373.149
2030,41110.4639
2035,45221.51029
2038,49743.66132
2040,54718.02745
2045,60189.8302
2050,66208.81322
