Year,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D15,D16,D17,D18,D21,D22,D23,D24,D31,D32,D33,D34,D35,D36,D41,D43,D44,D45,D46,D47,D48,D49,D51,D52,D61,D62,D71,D72,D73,D74,D75,D76,D81,D82,D83,D91,D92,D101,D102,D111,D112,D113,D114,D121,D122,D123,D124,D131,D132,D133,D134,D141,D142,D143,D151,D152,D153,D163,D164,D171,D172,D173,D181,D182,D191,D192
2005,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643
2010,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643
2038,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643
2050,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643,1.084613643
