District,TotHh,TotHhPop,GroupPop,HhPerCapInc
13067030340,1310,4121,0,40905.46
13067030341,1528,4765,0,36537.3
13067030342,1647,4892,0,41612.4
13067030343,1627,5171,0,45940.21
13067030344,2153,4223,0,30155.62
13067030345,2587,4934,0,19236.66
13067030405,2914,5912,0,27285.71
13067030407,2005,4439,0,43175.45
13067030408,1479,3207,0,36542.45
13067030409,1234,3419,0,45891.12
13067030410,2204,4846,0,33769.11
13067030411,1823,4601,0,15450.84
13067030412,1695,3932,0,22667.62
13067030413,2496,5656,0,28684.44
13067030414,1352,3362,0,17611.96
13067030502,2741,6967,0,39380.13
13067030504,2584,6234,0,24849.01
13067030505,3083,6907,0,26031.78
13067030506,2272,5280,0,25632.67
13067030507,1888,5088,0,37377.16
13067030601,4394,8939,0,25468.67
13067030602,3487,7347,0,20127.52
13067030700,1956,5027,0,19510.1
13067030800,1643,4434,0,18115.93
13067030901,3193,7842,0,33394.14
13067030902,2703,6919,0,9126.497
13067030904,2267,6113,0,23806.31
13067030905,2080,5619,0,27051.72
13067031001,1701,4992,0,22889.47
13067031002,3177,9179,0,16255.91
13067031004,2323,6723,0,18226.3
13067031005,1802,4915,0,23344.88
13067031101,1770,4728,0,18010.76
13067031106,3255,9070,0,25750.41
13067031108,2658,5392,0,25358.32
13067031110,1318,3444,0,24370.71
13067031111,1722,2844,0,39820.44
13067031112,2048,4709,0,38537.2
13067031113,521,1122,0,20888.16
13067031114,3445,7093,0,33396.96
13067031115,1728,4411,0,28032.8
13067031116,2362,5987,0,15359.14
13067031117,2114,5618,0,32220.86
13067031118,2371,5381,0,38660.13
13067031205,3034,5720,0,26823.58
13067031206,4599,8695,0,28768.76
13067031207,2178,3477,0,16097.77
13067031208,3091,5351,0,28754.7
13067031209,1625,3534,0,58385.83
13067031211,2310,3765,0,45737.86
13067031212,1066,2595,0,58207.12
13067031306,1527,4126,0,24187.56
13067031307,2366,6233,0,33823.71
13067031308,1924,5245,0,21619.45
13067031309,2687,7170,0,23288.57
13067031310,2398,6350,0,23349.23
13067031311,3640,9488,0,15805.4
13067031312,3781,10692,0,14493.81
13067031313,3652,9387,0,28527.86
13067031404,2194,5554,0,26691.19
13067031405,2920,7982,0,31945.82
13067031406,3044,7547,0,16495.77
13067031408,2236,6338,0,21536.16
13067031409,2337,5943,0,23644.31
13067031503,2908,8936,0,27552.17
13067031505,2295,6648,0,23092.42
13067031506,1913,5368,0,26439.6
13067031507,1132,3513,0,22220.77
13067031508,1899,5487,0,29423.89
13067031509,3348,9425,0,28499.33
13077170100,3080,8668,0,25739.38
13077170200,3604,9516,0,23482.55
13077170303,1993,5538,0,29932.89
13077170304,2511,6546,0,28576.45
13077170305,3606,9023,0,22497.15
13077170306,3347,8309,0,34557.62
13077170402,3104,8655,0,28388.4
13077170403,1502,4200,0,23749.94
13077170404,2357,6935,0,30104.58
13077170405,2787,8352,0,26598.99
13077170406,1512,4410,0,29307.65
13077170501,2719,7292,0,26566.5
13077170502,2197,6154,0,23230.73
13077170503,2184,5931,0,27000.17
13077170601,2950,7773,0,19069.91
13077170602,2931,7516,0,33606.05
13077170603,1836,5455,0,22141.78
13077170700,3391,8901,0,22350.73
13077170801,2334,6091,0,20994.86
13077170802,1890,5286,0,22746.16
13089020100,708,1516,0,63301.74
13089020200,1115,1782,0,58224.28
13089020300,1618,3169,0,52271.78
13089020400,1280,2111,0,44213.92
13089020500,1459,3277,0,19564.74
13089020600,923,2420,0,9822.068
13089020700,961,2272,0,23557.91
13089020801,1132,2740,0,21517.61
13089020802,1799,3851,0,20255.61
13089020900,2574,5821,0,21648.03
13089021101,1257,3183,0,50265.07
13089021102,2439,4550,0,44690.68
13089021202,3075,6955,0,51819.62
13089021204,1066,4773,0,10654.01
13089021208,1546,5371,0,25162.06
13089021209,2702,6538,0,35159.41
13089021210,2019,5293,0,52275.13
13089021211,1887,4472,0,57306
13089021213,1176,3179,0,59758.69
13089021214,2033,5431,0,27813.75
13089021215,2691,5301,0,31602.36
13089021216,3972,7362,0,54918.72
13089021217,950,2659,0,43863.52
13089021218,3334,6272,0,40348.67
13089021301,1662,3914,0,21054.23
13089021303,1856,6335,0,12502.92
13089021305,1506,4315,0,27601.08
13089021306,2010,4717,0,30046.42
13089021307,1298,3518,0,18258.44
13089021308,1375,4558,0,21337.5
13089021405,1950,3984,0,35409.22
13089021409,1157,3809,0,15974.23
13089021410,1781,5028,0,24271.01
13089021411,1640,2669,0,51775.85
13089021412,1520,3190,0,22017.38
13089021413,1422,4065,0,21381.87
13089021414,1437,3210,0,25748.27
13089021415,1834,3623,0,34736.3
13089021416,1083,3359,0,26414.3
13089021417,2120,6730,0,16785.58
13089021502,2554,4341,0,52030.67
13089021503,1591,3228,0,34467.99
13089021504,2886,5105,0,44448.14
13089021602,2125,3805,0,49581.72
13089021603,2867,4899,0,40020.47
13089021604,1274,2842,0,60561.93
13089021605,2587,6260,0,34393.87
