District,OwnRatio-2005,OwnRatio-2010,OwnRatio-2038,OwnRatio-2050,Threshold-2005,Threshold-2010,Threshold-2038,Threshold-2050,PropSuitable-2005,PropSuitable-2010,PropSuitable-2038,PropSuitable-2050
104_104_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
105_105_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
106_106_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
107_107_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
108_108_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
109_109_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
110_110_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
111_111_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
112_112_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
113_113_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
114_114_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
115_115_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
116_116_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
117_117_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
118_118_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
119_119_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
120_120_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
121_121_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
122_122_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
123_123_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
124_124_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
125_125_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
126_126_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
127_127_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
128_128_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
129_129_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
130_130_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
131_131_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
132_132_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
133_133_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
134_134_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
135_135_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
136_136_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
137_137_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
138_138_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
139_139_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
140_140_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
141_141_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
142_142_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
143_143_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
144_144_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
145_145_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
146_146_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
147_147_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
148_148_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
149_149_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
150_150_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
151_151_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
152_152_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
153_153_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
154_154_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
155_155_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
156_156_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
157_157_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
158_158_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
159_159_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
160_160_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
161_161_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
162_162_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
163_163_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
164_164_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
165_165_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
166_166_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
167_167_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
168_168_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
169_169_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
170_170_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
171_171_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
172_172_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
173_173_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
174_174_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
175_175_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
176_176_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
177_177_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
178_178_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
179_179_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
180_180_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
181_181_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
182_182_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
183_183_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
184_184_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
185_185_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
186_186_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
187_187_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
188_188_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
189_189_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
190_190_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
191_191_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
192_192_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
193_193_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
194_194_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
195_195_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
196_196_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
197_197_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
198_198_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
199_199_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
200_200_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
201_201_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
202_202_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
203_203_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
204_204_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
205_205_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
206_206_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
207_207_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
208_208_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
209_209_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
210_210_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
211_211_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
212_212_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
213_213_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
214_214_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
215_215_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
216_216_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
217_217_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
218_218_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
219_219_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
220_220_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
221_221_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
222_222_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
223_223_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
224_224_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
225_225_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
226_226_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
227_227_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
228_228_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
229_229_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
230_230_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
231_231_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
232_232_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
233_233_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
234_234_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
235_235_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
236_236_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
237_237_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
238_238_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
239_239_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
240_240_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
241_241_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
242_242_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
243_243_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
244_244_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
245_245_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
246_246_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
247_247_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
248_248_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
249_249_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
250_250_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
251_251_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
252_252_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
253_253_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
254_254_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
255_255_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
256_256_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
257_257_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
258_258_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
259_259_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
260_260_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
261_261_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
262_262_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
263_263_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
264_264_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
265_265_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
266_266_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
267_267_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
268_268_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
269_269_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
270_270_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
271_271_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
272_272_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
273_273_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
274_274_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
275_275_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
276_276_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
277_277_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
278_278_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
279_279_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
280_280_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
281_281_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
282_282_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
283_283_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
284_284_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
285_285_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
286_286_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
287_287_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
288_288_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
289_289_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
290_290_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
291_291_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
292_292_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
293_293_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
294_294_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
295_295_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
296_296_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
297_297_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
298_298_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
299_299_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
300_300_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
301_301_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
302_302_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
303_303_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
304_304_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
305_305_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
306_306_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
307_307_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
308_308_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
309_309_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
310_310_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
311_311_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
312_312_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
313_313_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
314_314_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
315_315_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
316_316_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
317_317_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
318_318_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
319_319_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
320_320_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
321_321_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
322_322_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
323_323_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
324_324_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
325_325_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
326_326_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
327_327_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
328_328_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
329_329_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
330_330_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
331_331_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
332_332_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
333_333_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
334_334_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
335_335_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
336_336_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
337_337_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
338_338_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
339_339_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
340_340_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
341_341_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
342_342_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
343_343_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
344_344_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
