District,OwnRatio-2005,OwnRatio-2010,OwnRatio-2038,OwnRatio-2050,Threshold-2005,Threshold-2010,Threshold-2038,Threshold-2050,PropSuitable-2005,PropSuitable-2010,PropSuitable-2038,PropSuitable-2050
1_1_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
2_2_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
3_3_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
4_4_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
5_5_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
6_6_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
7_7_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
8_8_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
9_9_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
10_10_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
11_11_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
12_12_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
13_13_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
14_14_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
15_15_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
16_16_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
17_17_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
18_18_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
19_19_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
20_20_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
21_21_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
22_22_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
23_23_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
24_24_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
25_25_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
26_26_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
27_27_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
28_28_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
29_29_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
30_30_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
31_31_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
32_32_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
33_33_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
34_34_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
35_35_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
36_36_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
37_37_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
38_38_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
39_39_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
40_40_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
41_41_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
42_42_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
43_43_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
44_44_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
45_45_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
46_46_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
47_47_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
48_48_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
49_49_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
50_50_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
51_51_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
52_52_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
53_53_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
54_54_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
55_55_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
56_56_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
57_57_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
58_58_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
59_59_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
60_60_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
61_61_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
62_62_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
63_63_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
64_64_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
65_65_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
66_66_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
67_67_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
68_68_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
69_69_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
70_70_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
71_71_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
72_72_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
73_73_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
74_74_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
75_75_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
76_76_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
77_77_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
78_78_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
79_79_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
80_80_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
81_81_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
82_82_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
83_83_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
84_84_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
85_85_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
86_86_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
87_87_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
88_88_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
89_89_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
90_90_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
91_91_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
92_92_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
93_93_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
94_94_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
95_95_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
96_96_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
97_97_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
98_98_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
99_99_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
100_100_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
101_101_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
102_102_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
103_103_xxx,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
